Session manual source,Date,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Key events,Event count,Total revenue
ig,20250414,122,125,50,11.936,0.4098360656,4.728,0.4,0,591,0
ig,20250423,107,121,56,11.47107438,0.523364486,5.049586777,0.4628099174,0,611,0
ig,20250422,112,120,57,14.325,0.5089285714,5.233333333,0.475,0,628,0
google,20250422,103,119,103,52.64705882,1,9.857142857,0.8655462185,0,1173,0
google,20250427,93,109,88,41.79816514,0.9462365591,10.14678899,0.8073394495,0,1106,0
ig,20250426,100,108,44,12.03703704,0.44,5.509259259,0.4074074074,0,595,0
ig,20250427,97,108,55,16,0.5670103093,7.601851852,0.5092592593,0,821,0
google,20250414,95,101,80,94.02970297,0.8421052632,12.65346535,0.7920792079,0,1278,0
ig,20250424,93,101,47,10.7029703,0.5053763441,4.930693069,0.4653465347,0,498,0
google,20250423,88,99,87,49.14141414,0.9886363636,9.737373737,0.8787878788,0,964,0
ig,20250421,89,99,44,10.19191919,0.4943820225,5.656565657,0.4444444444,0,560,0
ig,20250425,85,96,50,16.03125,0.5882352941,6.864583333,0.5208333333,0,659,0
google,20250420,84,91,80,52.62637363,0.9523809524,9.879120879,0.8791208791,0,899,0
google,20250416,73,80,65,38.325,0.8904109589,8.6875,0.8125,0,695,0
google,20250418,72,78,60,49.33333333,0.8333333333,11.28205128,0.7692307692,0,880,0
google,20250415,71,77,62,73.4025974,0.8732394366,14.41558442,0.8051948052,0,1110,0
google,20250417,67,71,58,52.78873239,0.8656716418,12.35211268,0.8169014085,0,877,0
google,20250419,64,67,56,59.02985075,0.875,11.04477612,0.8358208955,0,740,0
fb,20250421,55,64,31,7.3125,0.5636363636,6.71875,0.484375,0,430,0
fb,20250425,53,60,32,19.4,0.6037735849,7.516666667,0.5333333333,0,451,0
fb,20250427,52,60,28,12.03333333,0.5384615385,5.35,0.4666666667,0,321,0
fb,20250420,52,58,27,10.17241379,0.5192307692,8.155172414,0.4655172414,0,473,0
fb,20250426,40,50,22,17.24,0.55,8.94,0.44,0,447,0
fb,20250415,42,48,23,16.47916667,0.5476190476,9.104166667,0.4791666667,0,437,0
fb,20250419,39,48,22,13.95833333,0.5641025641,8.875,0.4583333333,0,426,0
fb,20250422,34,47,21,8.510638298,0.6176470588,7.382978723,0.4468085106,0,347,0
fb,20250424,35,46,26,8.869565217,0.7428571429,5.760869565,0.5652173913,0,265,0
fb,20250414,40,45,22,8.2,0.55,5.288888889,0.4888888889,0,238,0
(not set),20250424,33,43,29,34.09302326,0.8787878788,8.186046512,0.6744186047,0,352,0
fb,20250423,33,39,21,10.56410256,0.6363636364,9.102564103,0.5384615385,0,355,0
(not set),20250423,31,37,25,39.86486486,0.8064516129,9.135135135,0.6756756757,0,338,0
(not set),20250425,31,37,17,21.64864865,0.5483870968,5.972972973,0.4594594595,0,221,0
fb,20250416,35,37,19,17.08108108,0.5428571429,8.432432432,0.5135135135,0,312,0
(not set),20250415,27,32,22,120.6875,0.8148148148,12.96875,0.6875,0,415,0
fb,20250418,25,32,15,24.09375,0.6,10.96875,0.46875,0,351,0
(not set),20250422,23,30,21,75,0.9130434783,16.33333333,0.7,2,490,30
(not set),20250414,23,29,19,128.6206897,0.8260869565,17.10344828,0.6551724138,0,496,0
(not set),20250416,20,29,16,36.20689655,0.8,7.517241379,0.5517241379,0,218,0
(not set),20250421,17,29,17,41.31034483,1,8.206896552,0.5862068966,0,238,0
(not set),20250427,22,27,16,23.85185185,0.7272727273,6.814814815,0.5925925926,0,184,0
(not set),20250420,23,26,17,74.88461538,0.7391304348,14.92307692,0.6538461538,0,388,0
fb,20250417,22,24,16,5,0.7272727273,13.70833333,0.6666666667,0,329,0
(not set),20250417,19,22,12,43.09090909,0.6315789474,8.318181818,0.5454545455,0,183,0
(not set),20250418,19,22,16,36.59090909,0.8421052632,8.318181818,0.7272727273,0,183,0
(not set),20250419,20,22,16,62.5,0.8,13.09090909,0.7272727273,0,288,0
(not set),20250426,17,21,15,299.5714286,0.8823529412,35.80952381,0.7142857143,0,752,0
linktr.ee,20250425,11,12,11,70.5,1,18.58333333,0.9166666667,0,223,0
linktr.ee,20250427,10,11,9,47.72727273,0.9,12.36363636,0.8181818182,0,136,0
l.facebook.com,20250420,7,10,4,2,0.5714285714,4,0.4,0,40,0
linktr.ee,20250426,10,10,10,53.4,1,11.8,1,0,118,0
facebook.com,20250416,9,9,7,4.111111111,0.7777777778,7,0.7777777778,0,63,0
linktr.ee,20250419,8,9,8,224.8888889,1,20.44444444,0.8888888889,0,184,0
linktr.ee,20250422,9,9,9,67.77777778,1,14.77777778,1,0,133,0
l.instagram.com,20250424,8,8,8,28.25,1,13.25,1,0,106,0
l.instagram.com,20250418,5,7,2,20.42857143,0.4,15,0.2857142857,0,105,0
l.instagram.com,20250425,5,7,4,6.142857143,0.8,8.285714286,0.5714285714,0,58,0
linktr.ee,20250416,7,7,7,78.57142857,1,25.85714286,1,0,181,0
m.facebook.com,20250416,7,7,6,4.857142857,0.8571428571,6.714285714,0.8571428571,0,47,0
l.facebook.com,20250426,4,6,5,32.16666667,1.25,10.5,0.8333333333,0,63,0
linktr.ee,20250418,6,6,6,83.5,1,23.16666667,1,0,139,0
linktr.ee,20250423,5,6,5,46.66666667,1,8.833333333,0.8333333333,0,53,0
linktr.ee,20250424,6,6,5,57.5,0.8333333333,10.83333333,0.8333333333,0,65,0
m.facebook.com,20250423,5,6,4,43.66666667,0.8,11.83333333,0.6666666667,0,71,0
facebook.com,20250422,5,5,4,3.8,0.8,8.8,0.8,0,44,0
l.facebook.com,20250422,5,5,2,1.2,0.4,4.2,0.4,0,21,0
linktr.ee,20250414,5,5,5,75.2,1,9.4,1,0,47,0
linktr.ee,20250417,5,5,5,85.6,1,19.6,1,0,98,0
an,20250421,3,4,4,23.25,1.333333333,13.75,1,0,55,0
facebook.com,20250419,4,4,3,3.5,0.75,8.5,0.75,0,34,0
l.instagram.com,20250414,4,4,3,36.5,0.75,9.5,0.75,0,38,0
l.instagram.com,20250417,4,4,4,24,1,15.75,1,0,63,0
l.instagram.com,20250420,4,4,4,39,1,15.25,1,0,61,0
l.instagram.com,20250423,4,4,4,26.75,1,14,1,0,56,0
linktr.ee,20250420,4,4,4,58.25,1,12.25,1,0,49,0
an,20250414,3,3,3,1.666666667,1,4.666666667,1,0,14,0
