Campaign name,Day,Platform,Objective,Result type,Results,Reach,Impressions,Amount spent (EUR),Views,Clicks (all),CPC (all),CTR (all),Page engagement,Facebook follows or likes,Link clicks,Instagram profile visits,Website leads,Objective,Website purchases conversion value,Estimated ad recall lift (people)
promoción post  Chapoteos MATRO,All,All,All,Link clicks,661,23833,31489,51.91,29593,1004,0.05170319,3.188415,706,,661,7,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-14,All,All,Link clicks,58,2101,2275,4.16,2117,65,0.064,2.85714286,58,,58,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-14,instagram,All,Link clicks,43,1172,1264,3.23,1264,43,0.07511628,3.40189873,43,,43,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-14,instagram,LINK_CLICKS,Link clicks,43,1172,1264,3.23,1264,43,0.07511628,3.40189873,43,,43,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-14,facebook,All,Link clicks,13,822,853,0.86,853,20,0.043,2.34466589,13,,13,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-14,facebook,LINK_CLICKS,Link clicks,13,822,853,0.86,853,20,0.043,2.34466589,13,,13,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-14,audience_network,All,Link clicks,2,88,158,0.07,0,2,0.035,1.26582278,2,,2,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-14,audience_network,LINK_CLICKS,Link clicks,2,88,158,0.07,0,2,0.035,1.26582278,2,,2,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-24,All,All,Link clicks,40,1619,1847,3.50,1633,67,0.05223881,3.62750406,45,,40,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-24,facebook,All,Link clicks,35,1534,1602,3.11,1604,62,0.05016129,3.8701623,40,,35,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-24,facebook,LINK_CLICKS,Link clicks,35,1534,1602,3.11,1604,62,0.05016129,3.8701623,40,,35,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-24,audience_network,All,Link clicks,4,114,216,0.25,0,4,0.0625,1.85185185,4,,4,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-24,audience_network,LINK_CLICKS,Link clicks,4,114,216,0.25,0,4,0.0625,1.85185185,4,,4,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-24,instagram,All,Link clicks,1,29,29,0.14,29,1,0.14,3.44827586,1,,1,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-24,instagram,LINK_CLICKS,Link clicks,1,29,29,0.14,29,1,0.14,3.44827586,1,,1,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-23,All,All,Link clicks,39,2019,2198,4.00,1998,70,0.05714286,3.18471338,42,,39,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-23,instagram,All,,,38,39,0.17,39,0,,0,,,,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-23,instagram,LINK_CLICKS,,,38,39,0.17,39,0,,0,,,,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-23,facebook,All,Link clicks,35,1886,1957,3.56,1959,66,0.05393939,3.37250894,38,,35,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-23,facebook,LINK_CLICKS,Link clicks,35,1886,1957,3.56,1959,66,0.05393939,3.37250894,38,,35,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-23,audience_network,All,Link clicks,4,119,202,0.27,0,4,0.0675,1.98019802,4,,4,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-23,audience_network,LINK_CLICKS,Link clicks,4,119,202,0.27,0,4,0.0675,1.98019802,4,,4,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-22,All,All,Link clicks,44,1777,1829,3.06,1710,87,0.03517241,4.75669765,49,,44,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-22,instagram,All,Link clicks,2,28,29,0.14,29,1,0.14,3.44827586,2,,2,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-22,instagram,LINK_CLICKS,Link clicks,2,28,29,0.14,29,1,0.14,3.44827586,2,,2,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-22,facebook,All,Link clicks,40,1611,1678,2.84,1679,84,0.03380952,5.00595948,45,,40,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-22,facebook,LINK_CLICKS,Link clicks,40,1611,1678,2.84,1679,84,0.03380952,5.00595948,45,,40,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-22,audience_network,All,Link clicks,2,86,120,0.08,0,2,0.04,1.66666667,2,,2,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-22,audience_network,LINK_CLICKS,Link clicks,2,86,120,0.08,0,2,0.04,1.66666667,2,,2,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-22,messenger,All,,,2,2,0.00,2,0,,0,,,,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-22,messenger,LINK_CLICKS,,,2,2,0.00,2,0,,0,,,,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-27,All,All,Link clicks,42,1990,2203,3.81,2017,84,0.04535714,3.8129823,49,,42,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-27,audience_network,All,Link clicks,2,113,191,0.28,0,2,0.14,1.04712042,2,,2,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-27,audience_network,LINK_CLICKS,Link clicks,2,113,191,0.28,0,2,0.14,1.04712042,2,,2,0,,LINK_CLICKS,,0
promoción post  Chapoteos MATRO,2025-04-27,instagram,All,Link clicks,1,38,38,0.11,38,1,0.11,2.63157895,1,,1,0,,LINK_CLICKS,,0
