Fecha,Acción de conversión,Categoría de conversión,Acciones categoría de conversión,Fuente de conversión,Conversiones,Resultados,Conversión por categoría,Acciones categoria de conversion,Coste,Clics,Impresiones,Categoría de página
2025-01-29,Clic cómo llegar,Obtener dirección,6.0,Alojado por Google,0.0,Get directions: 6.00,179.0,179.0,,,,
2025-01-30,Clic cómo llegar,Obtener dirección,7.0,Alojado por Google,0.0,Get directions: 7.00,179.0,179.0,,,,
2025-01-31,Clic cómo llegar,Obtener dirección,2.0,Alojado por Google,0.0,Get directions: 2.00,179.0,179.0,,,,
2025-02-01,Clic cómo llegar,Obtener dirección,6.0,Alojado por Google,0.0,Get directions: 6.00,179.0,179.0,,,,
2025-02-02,Clic cómo llegar,Obtener dirección,7.0,Alojado por Google,0.0,Get directions: 7.00,179.0,179.0,,,,
2025-02-03,Clic cómo llegar,Obtener dirección,5.0,Alojado por Google,0.0,Get directions: 5.00,179.0,179.0,,,,
2025-02-04,Clic cómo llegar,Obtener dirección,13.0,Alojado por Google,0.0,Get directions: 13.00,179.0,179.0,,,,
2025-02-05,Clic cómo llegar,Obtener dirección,18.0,Alojado por Google,0.0,Get directions: 18.00,179.0,179.0,,,,
2025-02-06,Clic cómo llegar,Obtener dirección,7.0,Alojado por Google,0.0,Get directions: 7.00,179.0,179.0,,,,
2025-02-07,Clic cómo llegar,Obtener dirección,5.0,Alojado por Google,0.0,Get directions: 5.00,179.0,179.0,,,,
2025-02-08,Clic cómo llegar,Obtener dirección,9.0,Alojado por Google,0.0,Get directions: 9.00,179.0,179.0,,,,
2025-02-09,Clic cómo llegar,Obtener dirección,3.0,Alojado por Google,0.0,Get directions: 3.00,179.0,179.0,,,,
2025-02-10,Clic cómo llegar,Obtener dirección,8.0,Alojado por Google,0.0,Get directions: 8.00,179.0,179.0,,,,
2025-02-11,Clic cómo llegar,Obtener dirección,8.0,Alojado por Google,0.0,Get directions: 8.00,179.0,179.0,,,,
2025-02-12,Clic cómo llegar,Obtener dirección,4.0,Alojado por Google,0.0,Get directions: 4.00,179.0,179.0,,,,
2025-02-13,Clic cómo llegar,Obtener dirección,1.0,Alojado por Google,0.0,Get directions: 1.00,179.0,179.0,,,,
2025-02-14,Clic cómo llegar,Obtener dirección,9.0,Alojado por Google,0.0,Get directions: 9.00,179.0,179.0,,,,
2025-02-15,Clic cómo llegar,Obtener dirección,2.0,Alojado por Google,0.0,Get directions: 2.00,179.0,179.0,,,,
2025-02-16,Clic cómo llegar,Obtener dirección,6.0,Alojado por Google,0.0,Get directions: 6.00,179.0,179.0,,,,
2025-02-17,Clic cómo llegar,Obtener dirección,21.0,Alojado por Google,0.0,Get directions: 21.00,179.0,179.0,,,,
2025-02-18,Clic cómo llegar,Obtener dirección,4.0,Alojado por Google,0.0,Get directions: 4.00,179.0,179.0,,,,
2025-02-19,Clic cómo llegar,Obtener dirección,3.0,Alojado por Google,0.0,Get directions: 3.00,179.0,179.0,,,,
2025-02-20,Clic cómo llegar,Obtener dirección,6.0,Alojado por Google,0.0,Get directions: 6.00,179.0,179.0,,,,
