Fecha,Acción de conversión,Categoría de conversión,Acciones categoría de conversión,Fuente de conversión,Conversiones,Resultados,Conversión por categoría,Acciones categoria de conversion
2025-01-29,Clic cómo llegar,Obtener dirección,6,Alojado por Google,0.0,Get directions: 6.00,179,179
2025-01-30,Clic cómo llegar,Obtener dirección,7,Alojado por Google,0.0,Get directions: 7.00,179,179
2025-01-31,Clic cómo llegar,Obtener dirección,2,Alojado por Google,0.0,Get directions: 2.00,179,179
2025-02-01,Clic cómo llegar,Obtener dirección,6,Alojado por Google,0.0,Get directions: 6.00,179,179
2025-02-02,Clic cómo llegar,Obtener dirección,7,Alojado por Google,0.0,Get directions: 7.00,179,179
2025-02-03,Clic cómo llegar,Obtener dirección,5,Alojado por Google,0.0,Get directions: 5.00,179,179
2025-02-04,Clic cómo llegar,Obtener dirección,13,Alojado por Google,0.0,Get directions: 13.00,179,179
2025-02-05,Clic cómo llegar,Obtener dirección,18,Alojado por Google,0.0,Get directions: 18.00,179,179
2025-02-06,Clic cómo llegar,Obtener dirección,7,Alojado por Google,0.0,Get directions: 7.00,179,179
2025-02-07,Clic cómo llegar,Obtener dirección,5,Alojado por Google,0.0,Get directions: 5.00,179,179
2025-02-08,Clic cómo llegar,Obtener dirección,9,Alojado por Google,0.0,Get directions: 9.00,179,179
2025-02-09,Clic cómo llegar,Obtener dirección,3,Alojado por Google,0.0,Get directions: 3.00,179,179
2025-02-10,Clic cómo llegar,Obtener dirección,8,Alojado por Google,0.0,Get directions: 8.00,179,179
2025-02-11,Clic cómo llegar,Obtener dirección,8,Alojado por Google,0.0,Get directions: 8.00,179,179
2025-02-12,Clic cómo llegar,Obtener dirección,4,Alojado por Google,0.0,Get directions: 4.00,179,179
2025-02-13,Clic cómo llegar,Obtener dirección,1,Alojado por Google,0.0,Get directions: 1.00,179,179
2025-02-14,Clic cómo llegar,Obtener dirección,9,Alojado por Google,0.0,Get directions: 9.00,179,179
2025-02-15,Clic cómo llegar,Obtener dirección,2,Alojado por Google,0.0,Get directions: 2.00,179,179
2025-02-16,Clic cómo llegar,Obtener dirección,6,Alojado por Google,0.0,Get directions: 6.00,179,179
2025-02-17,Clic cómo llegar,Obtener dirección,21,Alojado por Google,0.0,Get directions: 21.00,179,179
2025-02-18,Clic cómo llegar,Obtener dirección,4,Alojado por Google,0.0,Get directions: 4.00,179,179
2025-02-19,Clic cómo llegar,Obtener dirección,3,Alojado por Google,0.0,Get directions: 3.00,179,179
2025-02-20,Clic cómo llegar,Obtener dirección,6,Alojado por Google,0.0,Get directions: 6.00,179,179
2025-02-21,Clic cómo llegar,Obtener dirección,5,Alojado por Google,0.0,Get directions: 5.00,179,179
2025-02-22,Clic cómo llegar,Obtener dirección,8,Alojado por Google,0.0,Get directions: 8.00,179,179
2025-02-23,Clic cómo llegar,Obtener dirección,6,Alojado por Google,0.0,Get directions: 6.00,179,179
2025-01-29,Otras expansiones,Engagement,35,Alojado por Google,0.0,Engagement: 35.00,354,354
2025-01-30,Otras expansiones,Engagement,9,Alojado por Google,0.0,Engagement: 9.00,354,354
2025-01-31,Otras expansiones,Engagement,13,Alojado por Google,0.0,Engagement: 13.00,354,354
2025-02-01,Otras expansiones,Engagement,15,Alojado por Google,0.0,Engagement: 15.00,354,354
2025-02-02,Otras expansiones,Engagement,56,Alojado por Google,0.0,Engagement: 56.00,354,354
2025-02-03,Otras expansiones,Engagement,9,Alojado por Google,0.0,Engagement: 9.00,354,354
2025-02-04,Otras expansiones,Engagement,24,Alojado por Google,0.0,Engagement: 24.00,354,354
2025-02-05,Otras expansiones,Engagement,17,Alojado por Google,0.0,Engagement: 17.00,354,354
