Fecha,Dispositivo,Set anuncios,Conversiones,Impresiones,Coste,Interacciones,Clics,CTR
2025-01-29,ordenador,Clases natación,0.0,59,1.4699999999999998e-10,2,2,0.03
2025-01-29,ordenador,Matronatación,1e-10,69,7.099999999999899e-11,1,1,0.01
2025-01-29,ordenador,Natación infantil,0.0,689,2.7e-11,1,1,0.0
2025-01-29,ordenador,Natación adultos,0.0,2,0.0,0,0,0.0
2025-01-29,ordenador,Natación embarazadas,0.0,10,0.0,0,0,0.0
2025-01-29,móbil,Clases natación,0.0,245,1.82e-09,27,27,0.11
2025-01-29,móbil,Matronatación,3.0000000000000005e-10,149,1.335e-09,17,17,0.11
2025-01-29,móbil,Natación infantil,0.0,965,2.609999999999e-10,9,9,0.01
2025-01-29,móbil,Natación adultos,0.0,31,2.16e-10,5,5,0.16
2025-01-29,móbil,Natación embarazadas,1e-10,86,4.15e-10,8,8,0.09
2025-01-29,tablet,Clases natación,0.0,9,0.0,0,0,0.0
2025-01-29,tablet,Matronatación,0.0,3,0.0,0,0,0.0
2025-01-29,tablet,Natación infantil,0.0,68,0.0,0,0,0.0
2025-01-30,ordenador,Clases natación,0.0,33,2.63e-10,2,2,0.06
2025-01-30,ordenador,Matronatación,0.0,15,1.7999999999990001e-10,2,2,0.13
2025-01-30,ordenador,Natación infantil,0.0,79,1.55e-10,1,1,0.01
2025-01-30,ordenador,Natación embarazadas,0.0,10,0.0,0,0,0.0
2025-01-30,móbil,Clases natación,0.0,159,5.820000000000002e-10,10,10,0.06
2025-01-30,móbil,Matronatación,1e-10,115,1.519e-09,22,22,0.19
2025-01-30,móbil,Natación infantil,0.0,347,3.4900000000000004e-10,8,8,0.02
2025-01-30,móbil,Natación adultos,0.0,28,1.34e-10,4,4,0.14
2025-01-30,móbil,Natación embarazadas,1e-10,59,5.639999999999e-10,7,7,0.12
2025-01-30,tablet,Natación infantil,0.0,10,0.0,0,0,0.0
2025-01-31,ordenador,Clases natación,0.0,21,9.500000000000001e-11,1,1,0.05
2025-01-31,ordenador,Matronatación,0.0,12,0.0,0,0,0.0
2025-01-31,ordenador,Natación infantil,0.0,69,2.6000000000000003e-10,2,2,0.03
2025-01-31,ordenador,Natación adultos,0.0,1,0.0,0,0,0.0
2025-01-31,móbil,Clases natación,0.0,114,6.100000000000001e-10,11,11,0.1
2025-01-31,móbil,Matronatación,0.0,107,1.3760000000000002e-09,21,21,0.2
2025-01-31,móbil,Natación infantil,0.0,326,2.609999999999e-10,8,8,0.02
2025-01-31,móbil,Natación adultos,0.0,37,8.9e-11,3,3,0.08
2025-01-31,móbil,Natación embarazadas,0.0,28,5e-11,1,1,0.04
2025-01-31,tablet,Clases natación,0.0,3,0.0,0,0,0.0
2025-01-31,tablet,Matronatación,0.0,2,0.0,0,0,0.0
2025-01-31,tablet,Natación infantil,0.0,14,0.0,0,0,0.0
2025-02-01,otro,Natación infantil,0.0,1,0.0,0,0,0.0
2025-02-01,ordenador,Clases natación,0.0,40,0.0,0,0,0.0
2025-02-01,ordenador,Matronatación,0.0,9,0.0,0,0,0.0
2025-02-01,ordenador,Natación infantil,0.0,96,0.0,0,0,0.0
2025-02-01,ordenador,Natación adultos,0.0,1,0.0,0,0,0.0
2025-02-01,ordenador,Natación embarazadas,0.0,1,0.0,0,0,0.0
2025-02-01,móbil,Clases natación,0.0,198,6e-10,13,13,0.07
2025-02-01,móbil,Matronatación,1e-10,108,5.810000000000001e-10,11,11,0.1
2025-02-01,móbil,Natación infantil,0.0,417,1.74e-10,5,5,0.01
2025-02-01,móbil,Natación adultos,0.0,33,1.35e-10,4,4,0.12
2025-02-01,móbil,Natación embarazadas,2e-10,40,5.530000000000002e-10,7,7,0.18
2025-02-01,tablet,Clases natación,0.0,2,0.0,0,0,0.0
2025-02-01,tablet,Matronatación,0.0,2,0.0,0,0,0.0
2025-02-01,tablet,Natación infantil,0.0,23,0.0,0,0,0.0
2025-02-01,tablet,Natación adultos,0.0,1,0.0,0,0,0.0
2025-02-02,ordenador,Clases natación,0.0,82,1.3999999999999999e-11,1,1,0.01
2025-02-02,ordenador,Matronatación,0.0,13,0.0,0,0,0.0
2025-02-02,ordenador,Natación infantil,0.0,353,1.0000000000000001e-11,1,1,0.0
2025-02-02,ordenador,Natación adultos,0.0,2,0.0,0,0,0.0
2025-02-02,ordenador,Natación embarazadas,0.0,5,0.0,0,0,0.0
2025-02-02,móbil,Clases natación,1e-10,342,1.148e-09,23,23,0.07
2025-02-02,móbil,Matronatación,0.0,223,1.9259999999999998e-09,25,25,0.11
2025-02-02,móbil,Natación infantil,0.0,952,5.330000000000001e-10,15,15,0.02
2025-02-02,móbil,Natación adultos,0.0,52,5.4e-10,12,12,0.23
2025-02-02,móbil,Natación embarazadas,0.0,48,4.3299999999999995e-10,4,4,0.08
2025-02-02,tablet,Clases natación,0.0,20,0.0,0,0,0.0
