Fecha,Coste,Clics,Impresiones,Categoría de página
2025-01-29,0.59,5,150,Página Inicio
2025-01-29,1.09,2,26,Campañas
2025-01-29,2.23,7,1639,Campañas
2025-01-29,0.73,1,16,Campañas
2025-01-29,4.38,4,253,Clases y cursos
2025-01-29,0.65,3,83,Clases y cursos
2025-01-29,0.38,1,13,Clases y cursos
2025-01-29,2.05,3,9,Clases y cursos
2025-01-29,4.15,8,96,Clases y cursos
2025-01-29,0.0,0,16,Clases y cursos
2025-01-29,0.0,0,3,Clases y cursos
2025-01-29,0.39,1,5,Artículos generales
2025-01-29,0.0,0,3,Artículos generales
2025-01-29,0.0,0,1,Artículos generales
2025-01-29,0.05,1,9,Artículos generales
2025-01-29,0.0,0,5,Artículos generales
2025-01-29,0.0,0,6,Artículos generales
2025-01-29,0.0,0,4,Artículos generales
2025-01-29,0.0,0,5,Artículos generales
2025-01-29,0.0,0,6,Artículos generales
2025-01-29,0.0,0,183,Categorías de producto
2025-01-29,0.0,0,20,Categorías de producto
2025-01-29,0.0,0,96,Categorías de producto
2025-01-29,0.2,2,210,Clases y cursos
2025-01-29,12.61,17,105,Clases y cursos
2025-01-29,18.32,27,313,Clases y cursos
2025-01-29,0.0,0,369,Contacto / F.A.Q
2025-01-29,2.34,2,6,Contacto / F.A.Q
2025-01-29,0.0,0,1,Clases y cursos
2025-01-29,2.16,5,33,Clases y cursos
2025-01-29,0.19,1,10,Clases y cursos
2025-01-29,0.0,0,2,Contacto / F.A.Q
2025-01-29,1.16,9,372,Tienda
2025-01-29,1.59,8,42,Tienda
2025-01-29,0.0,0,55,Tienda
2025-01-30,1.46,12,339,Página Inicio
2025-01-30,1.52,5,44,Campañas
2025-01-30,4.26,8,414,Campañas
2025-01-30,0.14,1,9,Campañas
2025-01-30,0.0,0,1,Campañas
2025-01-30,0.78,1,165,Clases y cursos
2025-01-30,0.0,0,22,Clases y cursos
2025-01-30,0.0,0,5,Clases y cursos
2025-01-30,0.0,0,3,Clases y cursos
2025-01-30,5.64,7,69,Clases y cursos
2025-01-30,0.0,0,7,Clases y cursos
2025-01-30,0.0,0,3,Clases y cursos
2025-01-30,0.0,0,1,Artículos generales
2025-01-30,0.0,0,1,Artículos generales
2025-01-30,0.0,0,5,Artículos generales
2025-01-30,0.0,0,2,Artículos generales
2025-01-30,0.0,0,1,Artículos generales
2025-01-30,0.0,0,125,Categorías de producto
2025-01-30,2.73,1,9,Categorías de producto
2025-01-30,0.0,0,8,Categorías de producto
2025-01-30,0.0,0,147,Clases y cursos
2025-01-30,14.26,23,113,Clases y cursos
2025-01-30,8.45,12,192,Clases y cursos
2025-01-30,0.0,0,262,Contacto / F.A.Q
2025-01-30,1.19,1,1,Contacto / F.A.Q
2025-01-30,1.34,4,28,Clases y cursos
2025-01-30,0.7,2,9,Clases y cursos
2025-01-30,1.25,1,197,Tienda
2025-01-30,1.2,5,31,Tienda
2025-01-30,2.64,5,56,Tienda
2025-01-30,0.0,0,1,Contacto / F.A.Q
2025-01-31,1.28,3,111,Página Inicio
2025-01-31,0.72,4,51,Campañas
2025-01-31,5.21,10,392,Campañas
2025-01-31,1.67,5,15,Campañas
2025-01-31,0.97,2,142,Clases y cursos
2025-01-31,0.0,0,17,Clases y cursos
2025-01-31,0.0,0,11,Clases y cursos
2025-01-31,0.0,0,7,Clases y cursos
2025-01-31,0.5,1,28,Clases y cursos
2025-01-31,1.52,1,9,Clases y cursos
2025-01-31,0.0,0,2,Clases y cursos
2025-01-31,0.0,0,1,Artículos generales
2025-01-31,0.0,0,4,Artículos generales
2025-01-31,0.0,0,3,Artículos generales
2025-01-31,0.0,0,1,Artículos generales
2025-01-31,0.0,0,4,Artículos generales
2025-01-31,0.0,0,2,Artículos generales
2025-01-31,0.0,0,1,Artículos generales
2025-01-31,0.0,0,5,Artículos generales
2025-01-31,0.0,0,2,Artículos generales
2025-01-31,0.0,0,1,Artículos generales
2025-01-31,0.0,0,1,Artículos generales
2025-01-31,0.0,0,96,Categorías de producto
2025-01-31,0.71,1,7,Categorías de producto
2025-01-31,0.0,0,17,Categorías de producto
2025-01-31,2.52,3,123,Clases y cursos
2025-01-31,13.05,20,97,Clases y cursos
2025-01-31,6.45,11,138,Clases y cursos
2025-01-31,0.0,0,195,Contacto / F.A.Q
2025-01-31,0.52,1,10,Contacto / F.A.Q
2025-01-31,0.0,0,1,Clases y cursos
2025-01-31,0.89,3,38,Clases y cursos
2025-01-31,0.0,0,2,Clases y cursos
2025-01-31,0.0,0,2,Contacto / F.A.Q
2025-01-31,0.89,2,195,Tienda
2025-01-31,2.63,5,40,Tienda
2025-01-31,0.99,2,19,Tienda
2025-01-31,0.0,0,2,Contacto / F.A.Q
2025-02-01,1.3,15,372,Página Inicio
2025-02-01,3.02,4,32,Campañas
2025-02-01,1.74,5,509,Campañas
2025-02-01,0.47,2,10,Campañas
2025-02-01,0.11,1,153,Clases y cursos
2025-02-01,0.0,0,28,Clases y cursos
