Fecha,Campaña,Set anuncios,Anuncio,Plataforma,Objetivo,Tipo de resultado,Resultados,Coste,Alcance,Impresiones,Recuerdo anuncio estimado,Clics en link,Vistas,Clics (todos),Engagement en página,Follows o likes,Visitas a perfil IG,Leads,Leads de sitio web,Meta leads,Ventas
2025-02-11,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,instagram,Clics en link,Clics en link,0,0.02,14,14,0,0,14,0,0,0,0,0,0,0,0.0
2025-02-13,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,messenger,Clics en link,Clics en link,0,0.0,2,2,0,0,2,0,0,0,0,0,0,0,0.0
2025-02-03,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,instagram,Clics en link,Clics en link,7,0.33,76,76,0,7,76,7,9,0,0,0,0,0,0.0
2025-02-03,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,facebook,Clics en link,Clics en link,44,3.85,4655,4805,0,44,4810,108,46,0,0,0,0,0,0.0
2025-02-14,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,facebook,Clics en link,Clics en link,6,0.94,844,872,0,6,873,7,6,0,0,0,0,0,0.0
2025-02-14,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,instagram,Clics en link,Clics en link,1,0.04,27,27,0,1,27,2,1,0,1,0,0,0,0.0
2025-02-14,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,audience_network,Clics en link,Clics en link,0,0.03,48,116,0,0,0,0,0,0,0,0,0,0,0.0
2025-02-14,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,messenger,Clics en link,Clics en link,0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0.0
2025-02-13,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,facebook,Clics en link,Clics en link,29,2.82,2669,2800,0,29,2805,43,30,0,0,0,0,0,0.0
2025-02-13,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,audience_network,Clics en link,Clics en link,2,0.07,149,403,0,2,0,2,2,0,0,0,0,0,0.0
2025-02-13,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,instagram,Clics en link,Clics en link,1,0.05,22,22,0,1,22,1,1,0,0,0,0,0,0.0
2025-02-13,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,facebook,Clics en link,Clics en link,7,0.95,905,935,0,7,937,15,8,0,0,0,0,0,0.0
2025-02-03,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,messenger,Clics en link,Clics en link,0,0.0,2,3,0,0,3,0,0,0,0,0,0,0,0.0
2025-02-13,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,instagram,Clics en link,Clics en link,1,0.03,10,11,0,1,11,1,1,0,0,0,0,0,0.0
2025-02-13,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,audience_network,Clics en link,Clics en link,0,0.01,42,120,0,0,0,0,0,0,0,0,0,0,0.0
2025-02-12,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,facebook,Clics en link,Clics en link,20,2.66,2887,3024,0,20,3029,31,21,0,0,0,0,0,0.0
2025-02-12,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,instagram,Clics en link,Clics en link,1,0.09,38,38,0,1,38,1,1,0,0,0,0,0,0.0
2025-02-12,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,audience_network,Clics en link,Clics en link,0,0.06,152,403,0,0,0,0,0,0,0,0,0,0,0.0
2025-02-12,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,messenger,Clics en link,Clics en link,0,0.0,2,2,0,0,2,0,0,0,0,0,0,0,0.0
2025-02-04,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,instagram,Clics en link,Clics en link,0,0.06,17,17,0,0,17,0,1,0,0,0,0,0,0.0
2025-02-04,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,audience_network,Clics en link,Clics en link,1,0.02,103,248,0,1,0,1,1,0,0,0,0,0,0.0
2025-02-04,Post_chapoteos,Chapoteos_4_oct,Copia_chapoteos,facebook,Clics en link,Clics en link,8,0.93,846,874,0,8,876,21,9,0,0,0,0,0,0.0
2025-02-04,Post_chapoteos,Chapoteos_4_oct,Chapoteos_29_nov,messenger,Clics en link,Clics en link,0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0.0
